Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2025-01,Andhra Pradesh,288164,284870,3294,269725,231336,228256,1504,58404,228256,0.005219250149220583,0.79210449605086,0.2026762537999195,0.9947807498507795,0.0,0.06398786801959995,0.14232644359996294,-0.6582417205487106,0.0,86.45523520485584,0,6.16,Low
2025-01,Assam,155011,148965,6046,0,0,0,155011,0,58802,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3260648180313022,0.0,24.63452951876964,1,55.0,High
2025-01,Bihar,8022,8022,0,0,0,0,3807,4215,121,0.47456993268511594,0.0,0.5254300673148841,0.5254300673148841,0.0,1.0,0.0,0.40523980441900637,0.0,8022.0,1,55.0,High
2025-01,Chhattisgarh,941977,888028,53949,804383,793307,529205,12123,400649,527833,0.012869740980936902,0.5618024643913812,0.425327794627682,0.9871302590190631,0.002592568097429163,0.14606938385969084,0.013769560023023857,0.07540042482889042,0.0,16.46020389249305,0,13.2,Low
2025-01,Goa,10136,9758,378,4579,2186,1772,8230,134,871,0.8119573796369376,0.17482241515390687,0.013220205209155485,0.18804262036306235,0.5084650112866818,0.5482438831886346,0.522603188469098,-1.2825039260836475,0.0,25.7467018469657,0,39.02,Medium
2025-01,Gujarat,190056,182869,7187,186192,118987,103080,84644,2332,103080,0.44536347181883235,0.5423664604116681,0.012270067769499515,0.5546365281811677,0.0,0.020330849854779644,0.36094461631004554,-1.2856346516427042,0.0,25.440873678352812,0,11.75,Low
2025-01,Himachal Pradesh,5419,4880,539,2861,1121,659,4706,54,659,0.8684259088392693,0.12160915298025465,0.009964938180476102,0.13157409116073077,0.0,0.4720428123269976,0.6081789584061517,-1.2932301086998494,0.0,9.037037037037036,0,29.04,Low
2025-01,Jammu & Kashmir,46090,33233,12857,0,0,4505,1661,39924,6020,0.0360381861575179,0.09774354523757865,0.8662182686049035,0.9639618138424821,0.0,1.0,0.0,1.528145067882644,0.0,2.5846165811168142,1,52.56,Medium
2025-01,Jharkhand,110756,107032,3724,71636,65731,62051,20598,28107,61970,0.18597638051211673,0.560249557586045,0.25377406190183827,0.8140236194878833,0.001305377834362057,0.353208855502185,0.08243062147523592,-0.4898732223087454,0.0,28.733422818791947,0,16.32,Low
2025-01,Karnataka,294489,288549,5940,113013,17577,16326,24894,253269,16326,0.0845328687998533,0.05543840347177653,0.8600287277283701,0.9154671312001467,0.0,0.6162403349530883,0.8444692203551803,1.5077503828484409,0.0,48.569096111765695,0,32.86,Medium
2025-01,Kerala,45446,44455,991,40480,30801,29842,2627,12977,29400,0.05780486731505523,0.6566474497205474,0.2855476829643973,0.9421951326849448,0.014811339722538704,0.10927254323812877,0.23910573122529644,-0.3851783819492838,0.0,44.81350806451613,0,10.52,Low
2025-01,Madhya Pradesh,627513,585326,42187,627513,627513,305106,0,322407,294877,0.0,0.4862146282228416,0.5137853717771584,1.0,0.03352605324051313,0.0,0.0,0.3668702544720124,0.0,13.874229638759838,0,13.52,Low
2025-01,Maharashtra,409156,397897,11259,374165,174066,208681,27844,172631,208335,0.06805228323671167,0.5100279599956985,0.42191975676758986,0.9319477167632884,0.0016580330744054323,0.0855199483815464,0.534788128232197,0.06417085867403396,0.0,35.33721136767318,0,13.57,Low
2025-01,Odisha,720019,691757,28262,575499,494042,478526,96857,144636,469648,0.13452006127616076,0.6646019063385827,0.2008780323852565,0.8654799387238392,0.01855280590814292,0.2007169255255764,0.1415415144074968,-0.6641669030631124,0.0,24.47571029260871,0,11.77,Low
2025-01,Rajasthan,118375,113162,5213,76333,63849,51766,688,65921,51766,0.005812038014783527,0.4373051742344245,0.556882787750792,0.9941879619852165,0.0,0.3551594508975713,0.16354656570552709,0.5088772695484828,0.0,21.70349060222478,0,19.39,Low
2025-01,Tamil Nadu,34667,33119,1548,27582,16972,16568,5388,12711,16508,0.1554215824847838,0.477918481553062,0.36665993596215424,0.8445784175152162,0.0036214389183969096,0.20437303487466466,0.38467116235225873,-0.11791157083963826,0.0,21.38089089735313,0,16.19,Low
2025-01,Telangana,655249,651822,3427,231456,231456,231456,329367,94426,231456,0.5026592944056382,0.35323365621313424,0.1441070493812276,0.49734070559436183,0.0,0.6467663437868657,0.0,-0.8512286481174174,0.0,190.14644107351225,0,25.87,Low
2025-01,Tripura,200721,200557,164,153257,136437,131793,80,68848,128032,0.00039856317973704794,0.6565979643385595,0.3430034724817035,0.9996014368202629,0.028537175722534582,0.23646753453799055,0.10975028873069419,-0.19586018307614836,0.0,1215.4969696969697,0,12.7,Low
2025-01,Uttar Pradesh,93739,92577,1162,83646,23479,18910,68,74761,18910,0.0007254184490980275,0.2017303363594662,0.7975442451914357,0.999274581550902,0.0,0.10767130009921164,0.7193051670133659,1.3018625203581138,0.0,79.60189165950129,0,21.57,Low
2025-01,Uttarakhand,6678,3587,3091,0,0,0,185,6493,185,0.027702905061395628,0.0,0.9722970949386044,0.9722970949386044,0.0,1.0,0.0,1.8776773344964954,0.0,1.160090556274256,1,55.0,High
2025-01,West Bengal,142081,131962,10119,52610,51897,45130,364,96587,45130,0.0025619189054131093,0.3176357148387188,0.6798023662558681,0.9974380810945869,0.0,0.629718259302792,0.013552556548184757,0.9139002168324388,0.0,13.039723320158103,0,26.5,Low
