Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level
2025-01,Andhra Pradesh,288164,284870,3294,288164,288164,228256,1504,58404,228256,0.0052,0.7921,0.2027,0.9948,0.2079,0.0,0.2079,-0.6598,0,0.9771,0,10.42,Low
2025-01,Assam,155011,148965,6046,155011,0,0,155011,0,58802,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3271,0,0.922,0,55.0,High
2025-01,Bihar,8022,8022,0,8022,0,0,3686,4336,4215,0.4595,0.0,0.5405,0.5405,1.0,0.0,1.0,0.4521,0,1.0,0,56.82,High
2025-01,Chhattisgarh,941977,888028,53949,941977,941977,527833,13495,400649,527833,0.0143,0.5603,0.4253,0.9857,0.4397,0.0,0.4397,0.0729,0,0.8855,0,22.78,Low
2025-01,Goa,10136,9758,378,10136,4512,4512,5490,134,871,0.5416,0.4451,0.0132,0.4584,0.5549,0.0,0.5549,-1.2836,0,0.9254,0,30.45,Medium
2025-01,Gujarat,190056,182869,7187,190056,190056,103080,84644,2332,103080,0.4454,0.5424,0.0123,0.5546,0.4576,0.0,0.4576,-1.2866,0,0.9244,0,25.11,Low
2025-01,Himachal Pradesh,5419,4880,539,5419,5419,659,4706,54,659,0.8684,0.1216,0.01,0.1316,0.8784,0.0,0.8784,-1.2941,0,0.8011,0,48.26,Medium
2025-01,J&K,46090,33233,12857,46090,46090,6020,146,39924,6020,0.0032,0.1306,0.8662,0.9968,0.8694,0.0,0.8694,1.5241,0,0.4421,0,58.73,High
2025-01,Jharkhand,110756,107032,3724,110756,2531,2531,80118,28107,61970,0.7234,0.0229,0.2538,0.2766,0.9771,0.0,0.9771,-0.4916,0,0.9328,0,52.47,High
2025-01,Karnataka,294489,288549,5940,294489,294489,16326,24894,253269,16326,0.0845,0.0554,0.86,0.9155,0.9446,0.0,0.9446,1.5037,0,0.9597,0,62.69,High
2025-01,Kerala,45446,44455,991,45446,39773,39773,0,12977,29400,0.0,0.8752,0.2855,1.0,0.1248,0.0,0.1248,-0.3873,0,0.9564,1,20.26,Low
2025-01,Madhya Pradesh,627513,585326,42187,627513,627513,294877,10229,322407,294877,0.0163,0.4699,0.5138,0.9837,0.5301,0.0,0.5301,0.3642,0,0.8655,0,30.23,Medium
2025-01,Maharashtra,409156,397897,11259,409156,409156,208335,28190,172631,208335,0.0689,0.5092,0.4219,0.9311,0.4908,0.0,0.4908,0.0617,0,0.945,0,25.5,Low
2025-01,Odisha,720019,691757,28262,720019,720019,469648,105735,144636,469648,0.1469,0.6523,0.2009,0.8531,0.3477,0.0,0.3477,-0.6658,0,0.9215,0,18.12,Low
2025-01,Rajasthan,118375,113162,5213,118375,118375,51766,688,65921,51766,0.0058,0.4373,0.5569,0.9942,0.5627,0.0,0.5627,0.506,0,0.9119,0,33.22,Medium
2025-01,Tamil Nadu,34667,33119,1548,34667,34667,16508,5448,12711,16508,0.1572,0.4762,0.3667,0.8428,0.5238,0.0,0.5238,-0.12,0,0.9107,0,26.98,Low
2025-01,Telangana,655249,651822,3427,655249,721,721,560102,94426,231456,0.8548,0.0011,0.1441,0.1452,0.9989,0.0,0.9989,-0.8527,0,0.9895,0,54.22,High
2025-01,Tripura,200721,200557,164,200721,200721,128032,3841,68848,128032,0.0191,0.6379,0.343,0.9809,0.3621,0.0,0.3621,-0.198,0,0.9984,0,18.2,Low
2025-01,Uttar Pradesh,93739,92577,1162,93739,93739,18910,68,74761,18910,0.0007,0.2017,0.7975,0.9993,0.7983,0.0,0.7983,1.298,0,0.9752,0,52.9,High
2025-01,Uttarakhand,6678,3587,3091,0,0,0,185,6493,185,0.0277,0.0,0.9723,0.9723,0.0,1.0,0.0,1.8734,0,0.0743,0,43.87,Medium
2025-01,West Bengal,142081,131962,10119,51052,44444,44444,1050,96587,45130,0.0074,0.3128,0.6798,0.9926,0.0465,0.6407,0.1294,0.9106,0,0.8576,0,27.49,Low
