Month,State,Total_Claims_Received,Individual_Claims,Community_Claims,Claims_Recommended_SDLC,Claims_Recommended_DLC,Approved_Claims,Pending_Claims,Rejected_Claims,Titles_Distributed,Pending_Rate,Approval_Rate,Rejection_Rate,Disposal_Rate,Workflow_Bottleneck_Rate,SDLC_Dropoff_Rate,DLC_Dropoff_Rate,Rejection_Anomaly_Score,Pending_Backlog_Growth,Individual_vs_Community_Imbalance,Data_Inconsistency_Flag,Risk_Score,Risk_Level,anomaly_score,ML_Risk_Score,ML_Risk_Level,Anomaly_Type,AI_Explanation
2025-01,Andhra Pradesh,288164,284870,3294,288164,288164,228256,1504,58404,228256,0.0052,0.7921,0.2027,0.9948,0.2079,0.0,0.2079,-0.6598,0,0.9771,0,21.74,Normal,0.2174,21.74,Normal,Normal Workflow,Normal administrative progression (Risk Score: 21.7). Features align with standard state baselines.
2025-01,Assam,155011,148965,6046,155011,0,0,155011,0,58802,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3271,0,0.922,0,29.88,Normal,0.2988,29.88,Normal,Normal Workflow,Normal administrative progression (Risk Score: 29.9). Features align with standard state baselines.
2025-01,Bihar,8022,8022,0,8022,0,0,3686,4336,4215,0.4595,0.0,0.5405,0.5405,1.0,0.0,1.0,0.4521,0,1.0,0,29.94,Normal,0.2994,29.94,Normal,Normal Workflow,Normal administrative progression (Risk Score: 29.9). Features align with standard state baselines.
2025-01,Chhattisgarh,941977,888028,53949,941977,941977,527833,13495,400649,527833,0.0143,0.5603,0.4253,0.9857,0.4397,0.0,0.4397,0.0729,0,0.8855,0,93.79,High Risk,0.9379,93.79,High Risk,Administrative Bottleneck,High Risk (Score: 93.8): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 44.0%).
2025-01,Goa,10136,9758,378,10136,4512,4512,5490,134,871,0.5416,0.4451,0.0132,0.4584,0.5549,0.0,0.5549,-1.2836,0,0.9254,0,19.71,Normal,0.1971,19.71,Normal,Normal Workflow,Normal administrative progression (Risk Score: 19.7). Features align with standard state baselines.
2025-01,Gujarat,190056,182869,7187,190056,190056,103080,84644,2332,103080,0.4454,0.5424,0.0123,0.5546,0.4576,0.0,0.4576,-1.2866,0,0.9244,0,18.64,Normal,0.1864,18.64,Normal,Normal Workflow,Normal administrative progression (Risk Score: 18.6). Features align with standard state baselines.
2025-01,Himachal Pradesh,5419,4880,539,5419,5419,659,4706,54,659,0.8684,0.1216,0.01,0.1316,0.8784,0.0,0.8784,-1.2941,0,0.8011,0,16.75,Normal,0.1675,16.75,Normal,Normal Workflow,Normal administrative progression (Risk Score: 16.8). Features align with standard state baselines.
2025-01,J&K,46090,33233,12857,46090,46090,6020,146,39924,6020,0.0032,0.1306,0.8662,0.9968,0.8694,0.0,0.8694,1.5241,0,0.4421,0,21.86,Normal,0.2186,21.86,Normal,Normal Workflow,Normal administrative progression (Risk Score: 21.9). Features align with standard state baselines.
2025-01,Jharkhand,110756,107032,3724,110756,2531,2531,80118,28107,61970,0.7234,0.0229,0.2538,0.2766,0.9771,0.0,0.9771,-0.4916,0,0.9328,0,24.15,Normal,0.2415,24.15,Normal,Normal Workflow,Normal administrative progression (Risk Score: 24.1). Features align with standard state baselines.
2025-01,Karnataka,294489,288549,5940,294489,294489,16326,24894,253269,16326,0.0845,0.0554,0.86,0.9155,0.9446,0.0,0.9446,1.5037,0,0.9597,0,39.25,Normal,0.3925,39.25,Normal,Normal Workflow,Normal administrative progression (Risk Score: 39.2). Features align with standard state baselines.
2025-01,Kerala,45446,44455,991,45446,39773,39773,0,12977,29400,0.0,0.8752,0.2855,1.0,0.1248,0.0,0.1248,-0.3873,0,0.9564,1,20.77,Normal,0.2077,20.77,Normal,Normal Workflow,Normal administrative progression (Risk Score: 20.8). Features align with standard state baselines.
2025-01,Madhya Pradesh,627513,585326,42187,627513,627513,294877,10229,322407,294877,0.0163,0.4699,0.5138,0.9837,0.5301,0.0,0.5301,0.3642,0,0.8655,0,44.5,Attention,0.445,44.5,Attention,Administrative Bottleneck,Attention (Score: 44.5): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 53.0%).
2025-01,Maharashtra,409156,397897,11259,409156,409156,208335,28190,172631,208335,0.0689,0.5092,0.4219,0.9311,0.4908,0.0,0.4908,0.0617,0,0.945,0,32.58,Normal,0.3258,32.58,Normal,Normal Workflow,Normal administrative progression (Risk Score: 32.6). Features align with standard state baselines.
2025-01,Odisha,720019,691757,28262,720019,720019,469648,105735,144636,469648,0.1469,0.6523,0.2009,0.8531,0.3477,0.0,0.3477,-0.6658,0,0.9215,0,64.23,Attention,0.6423,64.23,Attention,Administrative Bottleneck,Attention (Score: 64.2): High administrative bottleneck in processing pipeline (Workflow Bottleneck Rate: 34.8%).
